date,description,amount,category
2026-03-24,"FARMLANDS HAMILTON",-1869.03,
2026-03-25,"PGG WRIGHTSON LIVESTOCK PROCEEDS 019901",33120.00,
2026-03-27,"NETFLIX.COM AUCKLAND",-22.99,
2026-03-27,"NEW WORLD TE RAPA",-280.48,
2026-03-27,"SPARK BUSINESS MOBILE",-142.60,
2026-03-28,"ANZ RURAL LOAN INTEREST 2201",-7512.44,
2026-03-29,"Z ENERGY TE RAPA",-226.88,
2026-03-30,"NPD PUKETE",-208.78,
2026-03-30,"RD1 HAMILTON",-2165.66,
2026-03-31,"NEW WORLD TE RAPA",-173.49,
2026-03-31,"TRANSFER TO 06-0313-0552981-30 SAVINGS",-5000.00,
2026-04-01,"FMG INSURANCE DD 0044817",-1386.90,
2026-04-01,"WAGES DIRECT CREDIT",-4334.74,
2026-04-02,"GENESIS ENERGY DAIRY SHED",-684.33,
2026-04-06,"DC FROM T PRESTON REF PUT IT ON WAGES LOL",650.00,
2026-04-07,"SPARK BUSINESS MOBILE",-142.60,
2026-04-08,"A M BISHOP MOTORS LTD",-642.80,
2026-04-08,"VETORA WAIKATO",-1600.70,
2026-04-10,"GENESIS ENERGY DAIRY SHED",-712.90,
2026-04-10,"NEW WORLD TE RAPA",-195.57,
2026-04-11,"NPD PUKETE",-204.88,
2026-04-11,"RD1 CAMBRIDGE",-2818.65,
2026-04-11,"WAITOMO FUEL LTD BULK DELIVERY",-2063.22,
2026-04-13,"GALLAGHER FENCING SUPPLIES",-874.90,
2026-04-14,"NZ FARMERS LIVESTOCK PAYMENT 44182",9840.00,
2026-04-14,"PAK N SAVE CLARENCE ST",-336.61,
2026-04-14,"WRIGHT CONTRACTING",-2875.00,
2026-04-15,"SEALES WINSLOW LTD",-5927.18,
2026-04-15,"WAGES DIRECT CREDIT",-4385.52,
2026-04-16,"GENESIS ENERGY DAIRY SHED",-641.05,
2026-04-17,"MITRE 10 MEGA TE RAPA",-240.95,
2026-04-18,"NPD PUKETE",-459.67,
2026-04-18,"RD1 HAMILTON",-1488.51,
2026-04-19,"HOYTS TE AWA",-48.00,
2026-04-20,"FONTERRA CO-OP PAYMENT 000262",47905.88,
2026-04-20,"IRD PAYE 043-712-889",-2079.77,
2026-04-21,"TE RAPA ENGINEERING LTD",-394.00,
2026-04-22,"COUNTDOWN TE RAPA",-190.61,
2026-04-22,"FARMLANDS TE AWAMUTU",-3099.56,
2026-04-22,"RAVENSDOWN LTD",-9870.15,
2026-04-24,"LIC AUTOMATION LTD HERD TEST",-1874.00,
2026-04-25,"NPD PUKETE",-448.74,
2026-04-27,"COUNTDOWN TE RAPA",-355.40,
2026-04-27,"NETFLIX.COM AUCKLAND",-22.99,
2026-04-28,"ANZ RURAL LOAN INTEREST 2201",-7512.44,
2026-04-28,"ECOLAB DAIRY HYGIENE",-733.18,
2026-04-29,"WAGES DIRECT CREDIT",-4265.80,
2026-04-30,"MOBIL TE AWAMUTU",-240.03,
2026-04-30,"PGG WRIGHTSON LTD",-742.15,
2026-05-01,"CROPMARK SEEDS LTD",-512.44,
2026-05-01,"FMG INSURANCE DD 0044817",-1386.90,
2026-05-03,"FARMLANDS TE AWAMUTU",-3283.39,
2026-05-05,"STIHL SHOP HAMILTON",-329.00,
2026-05-05,"Z ENERGY TE RAPA",-299.48,
2026-05-06,"IRD GST REFUND 043-712-889",4812.37,
2026-05-07,"HAMILTON CITY PARKING",-8.50,
2026-05-07,"RD1 CAMBRIDGE",-3500.20,
2026-05-08,"VETORA WAIKATO",-1235.31,
2026-05-09,"REBEL SPORT THE BASE",-189.99,
2026-05-10,"NEW WORLD TE RAPA",-339.05,
2026-05-11,"BP 2GO DINSDALE",-204.11,
2026-05-11,"WAITOMO FUEL LTD BULK DELIVERY",-2356.30,
2026-05-12,"MOBIL TE AWAMUTU",-166.21,
2026-05-12,"NZ FARMERS LIVESTOCK PAYMENT 45067",11270.00,
2026-05-13,"FARMLANDS HAMILTON",-3161.25,
2026-05-13,"TRACTOR REPAIRS WAIKATO LTD",-2246.90,
2026-05-13,"WAGES DIRECT CREDIT",-4297.96,
2026-05-15,"ASB TERM LOAN INTEREST 8841",-1204.90,
2026-05-15,"SEALES WINSLOW LTD",-6169.83,
2026-05-16,"NEW WORLD TE RAPA",-359.62,
2026-05-18,"NEW WORLD TE RAPA",-196.04,
2026-05-18,"NOEL LEEMING THE BASE",-1099.00,
2026-05-20,"FONTERRA CO-OP PAYMENT 000278",40112.34,
2026-05-20,"IRD PAYE 043-712-889",-1925.78,
2026-05-20,"NPD PUKETE",-292.06,
2026-05-20,"WAIPA DISTRICT COUNCIL RATES",-4214.00,
2026-05-22,"ANIMAL HEALTH DIRECT LTD",-516.75,
2026-05-22,"RD1 CAMBRIDGE",-3159.06,
2026-05-25,"Z ENERGY TE RAPA",-244.36,
2026-05-27,"FARMLANDS TE AWAMUTU",-1760.91,
2026-05-27,"GO BUS REFUND",44.00,
2026-05-27,"NETFLIX.COM AUCKLAND",-22.99,
2026-05-27,"WAGES DIRECT CREDIT",-4072.41,
2026-05-28,"ANZ RURAL LOAN INTEREST 2201",-7512.44,
2026-05-29,"INTEREST EARNED",12.87,
2026-05-31,"COUNTDOWN TE AWAMUTU",-267.32,
